"Finished","ID","NumParamML_1_1","NumParamML_2_1","NumParamML_3_1","StateBio100k_1_1","StateBio100k_2_1","StateBio100k_3_1","PHEIC10k_1_1","PHEIC10k_2_1","PHEIC10k_3_1","mRNA_1_1","mRNA_2_1","DiseaseSurveil_1_1","DiseaseSurveil_2_1","MaxCompute_1_1","MaxCompute_2_1","MaxCompute_3_1","HumanExtReasons","HumanExtReasons_8_TEXT"
"True","PCq1b7N7SoY",1e+07,1e+08,1e+09,0,2,5,0,3,7,1.4e+10,2e+10,15,25,45,100,1000,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PWeAPCbKE0n",1.5e+13,1.75e+14,3e+14,0,0,1,0,4,7,5000,2e+09,25,75,30000,5e+06,5e+07,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","Pz0LrIWau7V",1e+14,1e+15,1e+16,0,0,0,1,4,5,2e+10,3e+10,50,80,100,150,200,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","Pm7aN09ePRI",9990000,1.5e+14,6e+14,2,1,4,0,4,5,100,650,3,10,385000,399000,344000,"Nuclear Weapons",""
"True","PnEgBM0rrux",2e+13,1.5e+14,2.5e+16,0,0,1,0,1,4,1e+07,5e+08,1,20,30,200,5000,"Nuclear Weapons",""
"True","PkogxyiRsdv",1e+12,4e+12,1.5e+14,0,0,0,0,0,1,2e+07,1.25e+08,2,5,250,125,7,"Natural Pathogens (e.g. natural pandemics)",""
"True","PiBELvmz2z3",1e+14,1e+17,1e+25,0,1,2,0,1,5,22078083,66970893,0,0,4320,3149280,1.098086e+22,"Nuclear Weapons",""
"True","PNl5wL64TFX",450000,640000,760000,10,23,45,25,53,73,50000,76000,1e+05,2e+05,12,23,27,"Natural Pathogens (e.g. natural pandemics)",""
"True","PdyDDKFNjSw",8e+06,8430000,9500000,0,0,1,1,3,5,0,1,1,2,31.9,33.4,39.1,"Nuclear Weapons",""
"True","PrPCyZp7fkl",8e+09,8e+11,5e+14,0,0,0,0,1,4,0,25000,0.005,0.1,2e+06,4e+07,1.8e+08,"Other non-anthropogenic causes",""
"True","PXctH55oDPm",8.3,8.3,8.3,1,1,1,5.6,5.6,5.6,36,26,24.8,24.8,40000,40000,40000,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PYETbTdBjKd",2e+11,4e+11,6e+11,0,0,1,1,3,5,0,10000,50,65,3e+10,4e+10,5e+10,"Nuclear Weapons",""
"True","PM918M1uq2d",12,15,20,0,1,2,1,2,4,1e+05,2e+05,30,50,20,30,40,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","Pry3j9CiRVd",1e+08,2.4e+08,1e+12,0,0,0,0,1,5,50000,1200000,20,60,6e+08,7e+08,9e+08,"Nuclear Weapons",""
"True","P8G8AWvVGVJ",1e+07,7e+06,5e+06,250000,560000,7e+05,0,2,3,35,50,55,67,3600,5700,7000,"Nuclear Weapons",""
"True","Peo00AHtfnx",2e+12,5e+14,1.2e+15,0,0,2,1,2,8,0,6e+06,35,65,1e+06,5e+07,6.25e+10,"Other","asteroid impact, or possibly supervolcano"
"True","PpRjHzWG7d0",10000,20000,5e+05,0,1,2,0,1,2,10000,20000,2,6,50000,6e+05,5e+09,"Nuclear Weapons",""
"True","PHGp4pFds1I",5e+13,2e+14,1e+17,0,0,2,0,2,6,0.5,6,4,25,1500000,6e+08,5e+10,"Other",""
"True","P0ny1TCAvKB",1500000,1e+07,5e+08,0,0,1,0,4,21,100,3e+07,0.01,0.02,1e+35,1e+65,Inf,"Nuclear Weapons",""
"True","P1RDHxomVYE",2e+13,1e+14,2.5e+14,1,1,2,7,10,19,0,0,1,1,2000,3000,5000,"Nuclear Weapons",""
"True","PWGEhbgMVb3",5e+05,1e+09,1e+09,2,10,10,0,2,100,1000,10000,10,15,100,150,200,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","POQv4APL71w",1.5e+14,1.5e+20,160,0.5,1,3,4,4,7,0,1000,70,90,40,30,15,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
"True","PsdrRhvb1Du",5,10,20,0,2,5,0,0,1,2e+07,3e+07,25,80,1000,500,100,"Nuclear Weapons",""
"True","P7hugIPGDee",1e+07,2e+07,5e+07,0,1,3,0,1,3,50000,1e+07,1,2,1000,5000,20000,"Natural Pathogens (e.g. natural pandemics)",""
"True","Pv2PJIDmzbi",2.1e+25,2.1e+30,2.2e+30,2,1,2,2,3,2,2e+07,1e+07,3206602,3998602,10,20,30,"Engineered Pathogens (e.g. lab leaks, bioweapons)",""
